variable,en,nl,note
about_page_text,"This monitor contains the results of multiple data collections using the **DigIQ2.0**, a measurement instrument that maps the digital competence of Dutch people aged 10 and older. Digital competence consists of digital skills and knowledge, such as the skills and knowledge needed to use online media and digital technology safely and effectively, as well as the performance of these skills through tests and behavioral measurements. Digital competence is broken down into 11 dimensions.

By using multiple surveys at different times with different samples, we can gain a clear picture of the current state of digital competence among Dutch people, whether it is changing, and which groups of people are most vulnerable online.

{{< iconify ph chart-bar-fill >}} This monitor allows you to examine general trends in digital skills, knowledge, and performance for each of the 11 dimensions, with the option to differentiate by age, gender, education level, and migration background.

More information about DigIQ2.0 can be found at [https://osf.io/dfvqb/overview](https://osf.io/dfvqb/overview).

{{< iconify ph envelope-simple-open-fill >}} For questions about the monitor or DigIQ2.0, please email [digiq-cw-fmg@uva.nl](mailto:digiq-cw-fmg@uva.nl).

<small>This project was made possible by a grant from the Ministry of the Interior and Kingdom Relations (principal investigator: Piotrowski).</small>","Deze monitor bevat de resultaten van meerdere dataverzamelingen met de **DigIQ2.0**, een meetinstrument dat de digitale competentie van in Nederland wonende personen van 10 jaar en ouder in kaart brengt. Digitale competentie bestaat uit digitale vaardigheden en kennis, zoals de vaardigheden en kennis die nodig zijn om online media en digitale technologie veilig en effectief te gebruiken, én uit het daadwerkelijk laten zien van deze vaardigheden via toetsen en gedragsmetingen. Digitale competentie is onderverdeeld in 11 dimensies.

Door meerdere surveys op verschillende momenten met verschillende steekproeven uit te voeren, krijgen we een goed beeld van de huidige stand van digitale competentie onder mensen in Nederland, of deze in de tijd verandert, en welke groepen extra kwetsbaar zijn online.

{{< iconify ph chart-bar-fill >}} Deze monitor maakt het mogelijk om algemene trends in digitale vaardigheden, kennis en performance per van de 11 dimensies te bekijken, met de optie om te differentiëren naar leeftijd, geslacht, opleidingsniveau en migratieachtergrond.

Meer informatie over DigIQ2.0 is te vinden op [https://osf.io/dfvqb/overview](https://osf.io/dfvqb/overview).

{{< iconify ph envelope-simple-open-fill >}} Voor vragen over de monitor of DigIQ2.0 kunt u mailen naar [digiq-cw-fmg@uva.nl](mailto:digiq-cw-fmg@uva.nl).

<small>Dit project is mogelijk gemaakt door een subsidie van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (projectleider: Piotrowski).</small>",
modal_title_dccs,Digital Content Creation & Collaboration: Performance Questions,Digitale Inhoudscreatie & Samenwerking: Prestatie Vragen,
modal_content_dccs,This modal provides additional context about the digital content creation and collaboration performance questions.,Deze modal biedt aanvullende context over de prestatievragen voor digitale inhoudscreatie en samenwerking.,
PSCS3_1,Keep passwords in a password safe,Wachtwoorden bewaren in een wachtwoordenkluis,
PSCS3_2,Save passwords on paper ,Wachtwoorden bewaren op papier ,
PSCS3_3,Use passwords with ≥14 characters,Wachtwoorden van ≥14 tekens,
PSCS3_4,Different passwords per account,Verschillende wachtwoorden per account,
PSCS3_5,Use passkey (finger/face),Passkey gebruiken (vinger/gezicht),
PSCS3_6,Two-step verification,Twee-staps-verificatie,
PSCS3_7,Install software updates,Software-updates installeren,
PSCS3_8,Use adblocker,Adblocker gebruiken,
PSCS3_9,Make backups,Back-ups maken,
PSCS3_10,None of the above,Geen van bovenstaande,
PDHWS1_1,Create digital detox moments,Digitale detox-momenten creëren,
PDHWS1_2,Have rules limiting digital media,Regels hebben om digitale media te beperken,
PDHWS1_3,Use screen-time limiter,Schermtijdbegrenzer gebruiken,
PDHWS1_4,Temporarily switch off Internet,Internet tijdelijk uitschakelen,
PDHWS1_5,Delete apps/programs,Apps/programma's verwijderen,
PDHWS1_6,Turn off notifications,Meldingen uitschakelen,
PDHWS1_7,Reduce time without special approach,Tijd verminderen zonder speciale aanpak,
PDHWS1_8,None of these actions,Geen van deze acties,
PSGDS1_1,Clean mailbox,Mailbox opschonen,
PSGDS1_2,Use sustainable search engines,Duurzame zoekmachines gebruiken,
PSGDS1_3,Avoid unnecessary Cloud storage,Onnodige Cloud-opslag vermijden,
PSGDS1_4,Turn down screen brightness,Schermhelderheid verlagen,
PSGDS1_5,Use sleep mode,Slaapstand gebruiken,
PSGDS1_6,Close unused phone apps,Ongebruikte telefoon-apps sluiten,
PSGDS1_7,Recycle devices,Apparaten recyclen,
PSGDS1_8,Repair before replacing,Repareren voor vervangen,
PSGDS1_9,None of these actions,Geen van deze acties,
SourceHelp_1,I don't need help,Ik heb geen hulp nodig,
SourceHelp_2,I don't know anyone,Ik ken niemand,
SourceHelp_3,Family,Familie,
SourceHelp_4,Friends,Vrienden,
SourceHelp_5,Colleagues/classmates,Collega's/klasgenoten,
SourceHelp_6,Neighbors/acquaintances,Buren/kennissen,
SourceHelp_7,Help desk,Helpdesk,
SourceHelp_8,Library,Bibliotheek,
SourceHelp_9,Telecom/online helpdesk,Telecom/online helpdesk,
PAIS2_1,Google,Google,
PAIS2_2,Netflix,Netflix,
PAIS2_3,Whatsapp,Whatsapp,
PAIS2_4,Facebook,Facebook,
PAIS2_5,Bol.com,Bol.com,
PAIS2_6,DigID,DigID,
PAIS2_7,NOS News,NOS Nieuws,
PAIS2_8,Albert Heijn,Albert Heijn,
PAIS2_9,TikTok,TikTok,
page_name_skills,Skills,Vaardigheden,
page_name_performance,Performance,Prestatie,
page_name_knowledge,Knowledge,Kennis,
page_name_highlights,Highlights,Hoogtepunten,
page_name_about,About,Over,
page_name_strategic_info,Strategic Information,Strategische Informatie,
page_name_critical_info,Critical Information,Kritische Informatie,
page_name_netiquette,Netiquette,Netiquette,
page_name_content_creation,Digital Content Creation,Digitale Inhoudscreatie,
page_name_safety,Safety,Veiligheid,
page_name_digital_health,Digital Health,Digitale Gezondheid,
page_name_green,Green Digital,Groen Digitaal,
page_name_problem_solving,Digital Problem Solving,Digitale Problemen Oplossen,
page_name_transactional,Transactional,Transactioneel,
page_name_ai,AI,AI,
page_name_genai,Gen AI,Gen AI,
menu_dimensions,Dimensions,Dimensies,
dashboard_author,Digital Competence Team,Digital Competence Team,
dashboard_description,Digital Competence Dashboard,Digitaal Competentie Dashboard,
dashboard_footer,© 2025 Digital Competence Research,© 2025 Digitaal Competentie Onderzoek,
dashboard_navbar_brand,DigIQ Dashboard,DigIQ Dashboard,
digital_health_description,**Digital Health & Wellbeing** skills relate to managing healthy digital habits.,**Digitale Gezondheid & Welzijn** vaardigheden hebben betrekking op het beheren van gezonde digitale gewoonten.,
dimension_digital_health,Digital Health,Digitale Gezondheid,
highlights_intro,Here are the key findings from Wave 1 of the Digital Competence study.,Hier staan de belangrijkste bevindingen van Ronde 1 van het Digitaal Competentie onderzoek.,
highlights_wave1_title,Wave 1 Key Findings,Ronde 1 Belangrijkste Bevindingen,
link_see_all_digital_health,See all Digital Health results,Bekijk alle Digitale Gezondheid resultaten,
page_text_knowledge_short,**Knowledge** measures what participants *know* about the digital world. These items test factual understanding by having respondents indicate whether statements are true or false.,**Kennis** meet wat deelnemers *weten* over de digitale wereld. Deze items testen het feitelijke begrip door respondenten te laten aangeven of beweringen waar of onwaar zijn.,
page_text_knowledge,"The **Knowledge** section measures what participants *know* about the digital world: how it works, what risks it involves, and how different technologies affect everyday life. These items test factual understanding across topics such as information reliability, communication and privacy, online safety, AI, and generative AI. Respondents indicate whether each statement is true or false (or if they don’t know), allowing us to assess their level of digital literacy and awareness beyond self-perceived skills.","De **Kennis**-sectie meet wat deelnemers weten over de digitale wereld: hoe die werkt, welke risico’s eraan verbonden zijn en hoe verschillende technologieën het dagelijks leven beïnvloeden. Deze items toetsen feitelijke kennis over onderwerpen zoals betrouwbaarheid van informatie, communicatie en privacy, online veiligheid, AI en generatieve AI. Respondenten voor elke stelling aan of deze waar of onwaar is (of dat ze het niet weten), zodat we hun niveau van digitale geletterdheid en bewustzijn kunnen inschatten, los van hun zelfingeschatte vaardigheden.
",
page_text_performance_short,"**Performance** measures participants' practical digital skills across a range of real-life tasks. Instead of self-reports, these items test what people *can actually do*: for example, searching for reliable information.",**Prestaties** meten de praktische digitale vaardigheden van deelnemers in een reeks taken uit het echte leven. In plaats van zelfrapportage testen deze items wat mensen *werkelijk kunnen*: bijvoorbeeld het zoeken naar betrouwbare informatie.,
page_text_performance,"The **Performance** section measures participants' practical digital skills across a range of real-life tasks. Instead of self-reports, these items test what people *can actually do*: for example, searching for reliable information, recognizing AI-generated images, protecting their devices, or using AI tools effectively. The items cover eleven areas of digital competence, from strategic and critical information skills to AI and generative AI skills, providing an overall picture of how well individuals can navigate today's digital environment.","De **Prestaties**-sectie meet de praktische digitale vaardigheden van deelnemers aan de hand van uiteenlopende alledaagse taken. In plaats van zelfrapportage testen deze items wat mensen daadwerkelijk kunnen: bijvoorbeeld betrouwbare informatie opzoeken, AI-gegenereerde beelden herkennen, hun apparaten beveiligen of AI-tools effectief gebruiken. De items bestrijken elf domeinen van digitale competentie, van strategische en kritische informatievaardigheden tot AI- en generatieve-AI-vaardigheden, en geven zo een totaalbeeld van hoe goed mensen zich in de digitale omgeving van vandaag kunnen bewegen.
",
page_text_skills_short, **Skills** measures participants’ *self-assessed ability* to perform a wide range of digital tasks. These items capture how confident people feel doing things like searching for information.,**Vaardigheden** meet het *zelfgerapporteerde vermogen* van deelnemers om een ​​breed scala aan digitale taken uit te voeren. Deze items leggen vast hoe zelfverzekerd mensen zich voelen bij het zoeken naar informatie.,
page_text_skills,"The **Skills** section measures participants’ *self-assessed ability* to perform a wide range of digital tasks. These items capture how confident people feel doing things like searching for information, creating content, protecting their privacy, or recognizing when AI is being used. The questions cover different domains of digital competence, from information and communication skills to AI and generative AI skills, and together provide insight into participants’ everyday digital capabilities and confidence levels.","De **Vaardigheden**-sectie meet de zelfingeschatte bekwaamheid van deelnemers om een breed scala aan digitale taken uit te voeren. Deze items leggen vast hoe zeker mensen zich voelen bij zaken als informatie zoeken, content maken, hun privacy beschermen of herkennen wanneer AI wordt ingezet. De vragen bestrijken verschillende domeinen van digitale competentie, van informatie- en communicatievaardigheden tot AI- en generatieve-AI-vaardigheden, en geven samen inzicht in de alledaagse digitale handelingsbekwaamheid en het zelfvertrouwen van deelnemers.",
intro_text_skills,"For all skills questions, we used the following wording",Voor alle vaardigheidsvragen gebruikten we de volgende formulering,
intro_text_knowledge,"For all knowledge questions, we used the following wording",Voor alle kennisvragen gebruikten we de volgende formulering,
tab_knowledge,Knowledge,Kennis,
tab_performance,Performance,Prestatie,
tab_skills,Skills,Vaardigheden,
tab_question_10,Question 10,Vraag 10,
tab_ai_knowledge,AI Knowledge,AI Kennis,
tab_ai_performance,AI Performance,AI Prestatie,
tab_ai_skills,AI Skills,AI Vaardigheden,
tab_content_creation_knowledge,Content Creation Knowledge,Inhoudscreatie Kennis,
tab_content_creation_performance,Content Creation Performance,Inhoudscreatie Prestatie,
tab_content_creation_skills,Content Creation Skills,Inhoudscreatie Vaardigheden,
tab_critical_info_knowledge,Critical Info Knowledge,Kritische Info Kennis,
tab_critical_info_performance,Critical Info Performance,Kritische Info Prestatie,
tab_critical_info_skills,Critical Info Skills,Kritische Info Vaardigheden,
tab_digital_health_knowledge,Digital Health Knowledge,Digitale Gezondheid Kennis,
tab_digital_health_performance,Digital Health Performance,Digitale Gezondheid Prestatie,
tab_digital_health_skills,Digital Health Skills,Digitale Gezondheid Vaardigheden,
tab_genai_knowledge,Gen AI Knowledge,Gen AI Kennis,
tab_genai_performance,Gen AI Performance,Gen AI Prestatie,
tab_genai_skills,Gen AI Skills,Gen AI Vaardigheden,
tab_green_knowledge,Green Digial Knowledge,Groen Digitaal Kennis,
tab_green_performance,Green Digital Performance,Groen Digitaal Prestatie,
tab_green_skills,Green Digial Skills,Groen Digitaal Vaardigheden,
tab_netiquette_knowledge,Netiquette Knowledge,Netiquette Kennis,
tab_netiquette_skills,Netiquette Skills,Netiquette Vaardigheden,
tab_problem_solving_performance,Problem Solving Performance,Digitale Problemen Oplossen Prestatie,
tab_problem_solving_skills,Problem Solving Skills,Digitale Problemen Oplossen Vaardigheden,
tab_safety_knowledge,Safety Knowledge,Veiligheid Kennis,
tab_safety_performance,Safety Performance,Veiligheid Prestatie,
tab_safety_skills,Safety Skills,Veiligheid Vaardigheden,
tab_transactional_knowledge,Transactional Knowledge,Transactionele Kennis,
tab_transactional_performance,Transactional Performance,Transactionele Prestatie,
tab_transactional_skills,Transactional Skills,Transactionele Vaardigheden,
dunno_understand,Don't know/Understand,Weet/begrijp niet,
label_percentage_respondents,Percentage of Respondents,Percentage van respondenten,
label_number_respondents,Number of Respondents,Aantal respondenten,
label_agegroup,Age Group,Leeftijdsgroep,
label_female,Female,Vrouw,
label_male,Male,Man,
label_high_education,High,Hoog,
label_middle_education,Middle,Midden,
label_low_education,Low,Laag,
label_yes,Migration background,Migratieachtergrond,
label_no,No migration background,Geen migratieachtergrond,
label_percentage_correct,Percentage who selected/answered correctly,Percentage dat correct heeft geantwoord,
tab_question,Question,Vraag,
title_strategic_information_skills,Strategic Information Skills,Strategische Informatievaardigheden,
title_critical_information_skills,Critical Information Skills,Kritische Informatievaardigheden,
title_netiquette_skills,Netiquette Skills,Netiquette Vaardigheden,
title_digital_content_creation_skills,Digital Content Creation Skills,Digitale Contentcreatievaardigheden,
title_safety_control_skills,Safety and Control of Information and Devices Skills,Veiligheid en Controle van Informatie en Apparaten Vaardigheden,
title_digital_health_wellbeing_skills,Digital Health and Wellbeing Skills,Digitale Gezondheid en Welzijn Vaardigheden,
title_sustainable_green_digital_skills,Sustainable/Green Digital Skills,Duurzame/Groene Digitale Vaardigheden,
title_digital_problem_solving_skills,Digital Problem Solving Skills,Digitale Problemen Oplossen Vaardigheden,
title_transactional_skills,Transactional Skills,Transactionele Vaardigheden,
title_ai_skills,AI Skills,AI Vaardigheden,
strategic_information_general_dimension,"The **Strategic Information** dimension reflects an individual's understanding of how to navigate the online information environment. This includes knowing how search engines work, what influences search results, and how to choose effective keywords.","De **Strategische Informatie** dimensie weerspiegelt het begrip van een individu over hoe men zich kan bewegen in de online informatieomgeving. Dit omvat kennis over hoe zoekmachines werken, wat de zoekresultaten beïnvloedt, en hoe men effectieve zoekwoorden kiest,",
strategic_information_performance_dimension,"**Strategic Information Performance** refers to the ability to generate effective search queries, and to use (advanced) tools for online searches.",**Strategische Informatieprestatie** verwijst naar het vermogen om effectieve zoekopdrachten te genereren en (geavanceerde) tools te gebruiken voor online zoekopdrachten.,
strategic_information_knowledge_dimension,"**Strategic Information Knowledge** refers to knowing how online searches work, what makes keywords effective, and which sources are more relevant.","**Strategische Informatiekennis** verwijst naar het weten hoe online zoekopdrachten werken, wat zoekwoorden effectief maakt, en welke bronnen meer of minder relevant zijn.",
critical_information_general_dimension,"The **Critical Information** dimension captures a person’s ability to understand how to assess the trustworthiness and intent of online information. This includes knowing how misinformation spreads, what indicators signal reliability, and how content creators may influence readers through framing or emotional language.","De **Kritische Informatie** dimensie omvat het vermogen van een persoon om de betrouwbaarheid en intentie van online informatie te beoordelen. Dit omvat inzicht in hoe desinformatie zich verspreidt, welke indicatoren betrouwbaarheid signaleren, en hoe inhoudmakers lezers kunnen beïnvloeden door middel van framing of emotionele taal.",
critical_information_performance_dimension,"**Critical Information Performance** refers to the abiity to verify information, recognize credible sources, and identify persuasive or misleading online content.","**Kritische Informatieprestatie** verwijst naar het vermogen om informatie te verifiëren, geloofwaardige bronnen te herkennen en overtuigende of misleidende online inhoud te identificeren. ",
critical_information_knowledge_dimension,**Critical Information Knowledge** refers to knowledge about persuasive or misleading online content.,**Kritische Informatiekennis** verwijst naar kennis over overtuigende of misleidende online inhoud.,
,,,
netiquette_general_dimension,"The **Netiquette** dimension involves understanding the norms, expectations, and social rules of digital communication. This includes knowing which communication tools are appropriate for different situations, what information should not be shared, how tone is interpreted online, and how to interact respectfully and safely with others in digital spaces.",,
netiquette_performance_dimension,,,
netiquette_knowledge_dimension,"**Netiquette Knowledge** refers to knowing digital communication norms, when to ask for consent, and how to maintain respectful online interactions.",,
digital_content_creation_general_dimension,"**Digital Content Creation** reflect knowledge of how digital content is produced, modified, and shared. This includes understanding basic editing concepts, combining different media formats, using digital tools for presentations or documents, and recognizing copyright, ownership, and attribution requirements when working with online materials.",,
digital_content_creation_performance_dimension,,,
digital_content_creation_knowledge_dimension,"**Digital Content Creation Knowledge** refers to knowing the basics of editing, media formats, and copyright rules when creating or modifying digital content.",,
safety_general_dimension,"The **Safety & Control of Information and Devices** dimension describes a person’s understanding of how to protect their data, accounts, and devices. This includes knowing about passwords, privacy settings, phishing risks, software updates, secure Wi-Fi, and how platforms collect and use personal data. It also involves awareness of strategies to manage digital footprints.",,
safety_performance_dimension,,,
safety_knowledge_dimension,"**Safety Knowledge** refers to knowing how to keep devices secure, recognize digital threats, and protect personal information online.",,
digital_health_general_dimension,"The **Digital Health & Wellbeing** dimension encompasses understanding how technology use affects mental, physical, and emotional wellbeing. This includes knowing about screen-time risks, digital distractions, sleep disruption, ergonomics, online stress, and the importance of breaks, boundaries, and intentional technology use.",,
digital_health_performance_dimension,,,
digital_health_knowledge_dimension,"**Digital Health Knowledge** refers to understanding healthy digital habits, the effects of screen time, and strategies for maintaining wellbeing.",,
green_digital_general_dimension,"The **Sustainable/Green Digital** dimension reflect a person’s understanding of the environmental impact of digital technologies. This includes knowing how energy consumption works in digital devices, how cloud storage uses resources, what makes electronics more or less sustainable, and why recycling and proper disposal of e-waste are important.",,
green_digital_performance_dimension,,,
green_digital_knowledge_dimension,**Green Digital Knowledge** refers to knowing how digital technology affects the environment and what actions reduce digital waste and energy consumption.,,
digital_problem_solving_general_dimension,"**Digital Problem Solving** involve understanding how to address digital challenges and improve one’s digital abilities. This includes knowing where to find help, how to troubleshoot common issues, which resources or tutorials are trustworthy, and what strategies support ongoing learning and adaptation in a changing digital landscape.",,
digital_problem_solving_performance_dimension,,,
digital_problem_solving_knowledge_dimension,"**Digital Problem Solving Knowledge** refers to knowing where to look for help, how to troubleshoot common issues, and how to learn new digital skills.",,
transactional_general_dimension,"The **Transactional** dimension describes understanding how to perform official, financial, and administrative tasks in digital environments. This includes knowing how digital government systems work, what is required for secure payments, how to manage healthcare or insurance online, and how to upload or manage official documents safely.",,
transactional_performance_dimension,,,
transactional_knowledge_dimension,"**Transactional Knowledge** refers to knowing how online government services, payments, and digital administrative systems work.",,
ai_general_dimension,"The **AI** dimension reflects an understanding of how artificial intelligence operates in everyday digital tools. This includes knowing how platforms personalize content, what data is used to train AI systems, where AI is commonly embedded, and how AI-driven recommendations influence user behavior and experiences online.",,
ai_performance_dimension,,,
ai_knowledge_dimension,**AI Knowledge** refers to knowing where AI appears in everyday apps and how it shapes recommendations and content.,,
gen_ai_general_dimension,"The **Generative AI** dimension describes understanding how GenAI tools work, their strengths and limitations, and how outputs are created. This includes knowing how to evaluate AI-generated information, what makes a prompt effective, how to identify AI-generated content, and what risks or biases exist in GenAI systems.",,
gen_ai_performance_dimension,,,
gen_ai_knowledge_dimension,"**Generative AI Knowledge** refers to knowing how GenAI tools produce content, what their limitations are, and how to verify AI-generated information.",,
gen_ai_perf_infobox_general,,,
gen_ai_perf_infobox_answer_options,,,
gen_ai_perf_infobox_image,GenAI_competence_infobox_image.png,GenAI_competence_infobox_image.png,
ai_competence_infobox_image,AI_competence_infobox_image.png,AI_competence_infobox_image.png,
critical_info_competence_q1_infobox_image,critical_info_competence_q1_infobox_image.png,critical_info_competence_q1_infobox_image.png,
critical_info_competence_q2_infobox_image,critical_info_competence_q2_infobox_image.png,critical_info_competence_q2_infobox_image.png,
critical_info_competence_q3_infobox_image,critical_info_competence_q3_infobox_image.png,critical_info_competence_q3_infobox_image.png,
digital_content_creation_competence_infobox_image,digital_content_creation_competence_infobox_image.png,digital_content_creation_competence_infobox_image.png,
genai_competence_infobox_image,GenAI_competence_infobox_image.png,GenAI_competence_infobox_image.png,
netiquette_competence_infobox_image,netiquette_competence_infobox_image.png,netiquette_competence_infobox_image.png,
safety_competence_infobox_image,safety_competence_infobox_image.png,safety_competence_infobox_image.png,
strategic_info_infobox_image,strategic_info_infobox_image.png,strategic_info_infobox_image.png,
transactional_competence_infobox_image,transactional_competence_infobox_image.png,transactional_competence_infobox_image.png,
more_info,More info,Meer info,
blockquote_performance_ai,"Select all <a href=""#PAIS2_1"" class=""modal-link"">apps or websites</a> that use AI to personalize their content for you","Selecteer alle <a href=""#PAIS2_1"" class=""modal-link"">apps of websites</a> die AI gebruiken om hun inhoud voor u te personaliseren",
blockquote_performance_cis,"Look closely at this post (<a href='#PCIS1R' class='modal-link'>Q1</a>, <a href='#PCIS2R' class='modal-link'>Q2</a>) on social media as well. What kind of post do you think this is? (<a href='#PCIS3R' class='modal-link'>Q3</a>)","Bekijk ook dit bericht (<a href='#PCIS1R' class='modal-link'>Q1</a>, <a href='#PCIS2R' class='modal-link'>Q2</a>) goed van sociale media. Welk soort post denk je dat dit is? (<a href='#PCIS3R' class='modal-link'>Q3</a>)",
blockquote_performance_dccs,"Which of the <a href=""#PDCCS1R"" class=""modal-link"">following icons</a> refer to the function for cutting or removing parts of a picture (""cropping"")?","Welk van de <a href=""#PDCCS1R"" class=""modal-link"">onderstaande icoontjes</a> is voor het bijsnijden of stukken weghalen van een foto?",
blockquote_performance_safety,Which of the following safety precautions do you sometimes take for your digital/online media use? Select every answer that applies ,Welke van de volgende veiligheidsmaatregelen neemt u soms voor uw digitale/online mediagebruik? Selecteer elk antwoord dat van toepassing is.,
blockquote_performance_sis,"What search terms would you use to look up Femke Bol's birthplace on Google? (Q1) How can you make sure that only Dutch sources are shown? Click on <a href=""#PSIS2R"" class=""modal-link"">the spot in the image</a> where you can indicate this. (Q2)","Welke zoektermen zou je gebruiken om de geboorteplaats van Femke Bol op Google op te zoeken? (Q1) Hoe zorg je ervoor dat je alleen Nederlandse bronnen te zien krijgt? Klik op <a href=""#PSIS2R"" class=""modal-link"">de plaats in de afbeelding</a> op de plek waar je dit kunt aangeven. (Q2)",
blockquote_performance_netiquette,"Imagine, you find this picture of your friend/acquaintance on social media. For which <a href=""#PNS1R"" class=""modal-link"">picture, or pictures</a>, would you ask permission from this friend/acquaintance to share it with others online? (multiple answers are possible)","Stel, je komt deze foto's tegen van een vriendin of kennis op sociale media. Bij welke <a href=""#PNS1R"" class=""modal-link"">foto, of foto's</a>, zou je toestemming vragen aan deze vriendin of kennis om deze foto met anderen online te delen? (meerdere antwoorden zijn mogelijk)",
blockquote_performance_trans,"Below you see 4 icons that can appear on a website. Which of the <a href=""#PTS1R"" class=""modal-link"">icons</a> should you click on to know whether you can shop safely on an online webshop (for example with safe storage of personal data and a safe payment environment)?","Hieronder zie je 4 icoontjes die je op een website tegen kan komen. Op welk van de <a href=""#PTS1R"" class=""modal-link"">icoontjes</a> moet je klikken om te weten of je veilig kunt winkelen op een online webshop (bijvoorbeeld met veilige opslag van persoonsgegevens en een veilige betaalomgeving)?",
blockquote_performance_genai,"What prompt should you ask ChatGPT to get the best recipe result? (Q1) Look closely at the <a href=""#PAIS1R"" class=""modal-link"">pictures below</a>. Which picture is not made with artificial intelligence (AI)? (Q2)","Welke prompt stel je aan ChatGPT om tot het beste receptresultaat te komen? (Q1) Kijk goed naar de <a href=""#PAIS1R"" class=""modal-link"">foto's hieronder</a>. Welke foto is niet gemaakt met artificiële intelligentie (AI)? (Q2)",
blockquote_performance_problem_solving,Who do you ask for help if you aren't able to do something with online media or digital technology?,Wie vraag je om hulp als iets niet lukt met online media of digitale technologie?,
blockquote_performance_green,Which of the following activities do you sometimes do? ,Welke van de volgende activiteiten doet u soms?,
blockquote_performance_health,Do you sometimes try to limit the time you spend using digital media in one of the following ways? Select every answer that applies. ,Probeert u soms de tijd die u besteedt aan het gebruik van digitale media op een van de volgende manieren te beperken? Selecteer elk antwoord dat van toepassing is.,PSCS1,Read the following message closely. What type of message do you think this is?,Lees onderstaand bericht goed door. Wat voor soort bericht denk je dat dit is?,PSCS1 phishing recognition question
PSCS1_option_1,Advertisement,Reclame,
PSCS1_option_2,A message on MijnOverheid,Een bericht op MijnOverheid,
PSCS1_option_3,An email from the Belastingdienst,Een email van de belastingdienst,
PSCS1_option_4,Phishing scam (misleading post to steal your personal information),Phishing mail (een misleidende email om achter je gegevens te komen),Correct answer
blockquote_performance_pscs1,"<a href=""#PSCS1R"" class=""modal-link"">Read the following message</a> closely. What type of message do you think this is?","<a href=""#PSCS1R"" class=""modal-link"">Lees onderstaand bericht</a> goed door. Wat voor soort bericht denk je dat dit is?",
dimension_phishing,Phishing Recognition,Phishing herkenning,
tab_phishing_recognition,Phishing Recognition,Phishing herkenning,
menu_more_info,More Info,Meer informatie,
page_name_ronde1,Wave 1,Ronde 1,
page_name_ronde2,Wave 2,Ronde 2,Future use
